year,city,country,Shenyang_avg_temp,Shenyang_7-year MA
1891,Shenyang,China,7.02,6.864285714
1892,Shenyang,China,6.13,6.807142857
1893,Shenyang,China,6.14,6.678571429
1894,Shenyang,China,7.76,6.817142857
1895,Shenyang,China,6.22,6.768571429
1896,Shenyang,China,6.65,6.805714286
1897,Shenyang,China,6.95,6.695714286
1898,Shenyang,China,7.94,6.827142857
1899,Shenyang,China,7.94,7.085714286
1900,Shenyang,China,7.31,7.252857143
1901,Shenyang,China,7.04,7.15
1902,Shenyang,China,7.47,7.328571429
1903,Shenyang,China,7.52,7.452857143
1904,Shenyang,China,7,7.46
1905,Shenyang,China,7.21,7.355714286
1906,Shenyang,China,6.73,7.182857143
1907,Shenyang,China,6.99,7.137142857
1908,Shenyang,China,6.59,7.072857143
1909,Shenyang,China,6.44,6.925714286
1910,Shenyang,China,6.31,6.752857143
1911,Shenyang,China,6.49,6.68
1912,Shenyang,China,6.24,6.541428571
1913,Shenyang,China,6.38,6.491428571
1914,Shenyang,China,7.65,6.585714286
1915,Shenyang,China,6.24,6.535714286
1916,Shenyang,China,6.72,6.575714286
1917,Shenyang,China,6.17,6.555714286
1918,Shenyang,China,6.85,6.607142857
1919,Shenyang,China,7.21,6.745714286
1920,Shenyang,China,7.62,6.922857143
1921,Shenyang,China,7.05,6.837142857
1922,Shenyang,China,6.9,6.931428571
1923,Shenyang,China,6.69,6.927142857
1924,Shenyang,China,6.95,7.038571429
1925,Shenyang,China,7.15,7.081428571
1926,Shenyang,China,7.18,7.077142857
1927,Shenyang,China,7.12,7.005714286
1928,Shenyang,China,7.03,7.002857143
1929,Shenyang,China,7.1,7.031428571
1930,Shenyang,China,7.49,7.145714286
1931,Shenyang,China,6.73,7.114285714
1932,Shenyang,China,7.57,7.174285714
1933,Shenyang,China,6.75,7.112857143
1934,Shenyang,China,6.8,7.067142857
1935,Shenyang,China,7.8,7.177142857
1936,Shenyang,China,6.42,7.08
1937,Shenyang,China,7.38,7.064285714
1938,Shenyang,China,7.59,7.187142857
1939,Shenyang,China,8.04,7.254285714
1940,Shenyang,China,7.49,7.36
1941,Shenyang,China,7.42,7.448571429
1942,Shenyang,China,7.34,7.382857143
1943,Shenyang,China,8.11,7.624285714
1944,Shenyang,China,7.28,7.61
1945,Shenyang,China,6.77,7.492857143
1946,Shenyang,China,7.72,7.447142857
1947,Shenyang,China,5.45,7.155714286
1948,Shenyang,China,7.84,7.215714286
1949,Shenyang,China,7.62,7.255714286
1950,Shenyang,China,7.56,7.177142857
1951,Shenyang,China,7.47,7.204285714
1952,Shenyang,China,7.07,7.247142857
1953,Shenyang,China,7.08,7.155714286
1954,Shenyang,China,7.1,7.391428571
1955,Shenyang,China,7.83,7.39
1956,Shenyang,China,6.18,7.184285714
1957,Shenyang,China,6.58,7.044285714
1958,Shenyang,China,7.7,7.077142857
1959,Shenyang,China,8.2,7.238571429
1960,Shenyang,China,7.72,7.33
1961,Shenyang,China,8.24,7.492857143
1962,Shenyang,China,7.57,7.455714286
1963,Shenyang,China,7.48,7.641428571
1964,Shenyang,China,7.4,7.758571429
1965,Shenyang,China,7.27,7.697142857
1966,Shenyang,China,7.2,7.554285714
1967,Shenyang,China,7.43,7.512857143
1968,Shenyang,China,7.57,7.417142857
1969,Shenyang,China,6.33,7.24
1970,Shenyang,China,7.17,7.195714286
1971,Shenyang,China,7.28,7.178571429
1972,Shenyang,China,7.39,7.195714286
1973,Shenyang,China,7.91,7.297142857
1974,Shenyang,China,7.22,7.267142857
1975,Shenyang,China,8.31,7.372857143
1976,Shenyang,China,7.01,7.47
1977,Shenyang,China,7.59,7.53
1978,Shenyang,China,7.69,7.588571429
1979,Shenyang,China,7.87,7.657142857
1980,Shenyang,China,6.88,7.51
1981,Shenyang,China,7.3,7.521428571
1982,Shenyang,China,8.27,7.515714286
1983,Shenyang,China,8.17,7.681428571
1984,Shenyang,China,7.34,7.645714286
1985,Shenyang,China,6.94,7.538571429
1986,Shenyang,China,7.3,7.457142857
1987,Shenyang,China,7.46,7.54
1988,Shenyang,China,8.11,7.655714286
1989,Shenyang,China,8.78,7.728571429
1990,Shenyang,China,8.66,7.798571429
1991,Shenyang,China,8.02,7.895714286
1992,Shenyang,China,8.16,8.07
1993,Shenyang,China,7.92,8.158571429
1994,Shenyang,China,8.74,8.341428571
1995,Shenyang,China,8.25,8.361428571
1996,Shenyang,China,7.91,8.237142857
1997,Shenyang,China,8.48,8.211428571
1998,Shenyang,China,9.18,8.377142857
1999,Shenyang,China,8.67,8.45
2000,Shenyang,China,7.91,8.448571429
2001,Shenyang,China,7.97,8.338571429
2002,Shenyang,China,8.64,8.394285714
2003,Shenyang,China,8.62,8.495714286
2004,Shenyang,China,8.91,8.557142857
2005,Shenyang,China,7.75,8.352857143
2006,Shenyang,China,8.52,8.331428571
2007,Shenyang,China,9.19,8.514285714
2008,Shenyang,China,8.82,8.635714286
2009,Shenyang,China,8.27,8.582857143
2010,Shenyang,China,7.59,8.435714286
2011,Shenyang,China,8.04,8.311428571
2012,Shenyang,China,7.54,8.281428571
2013,Shenyang,China,9.3,8.392857143
